,NÚMERO DE INSCRIÇÃO,SITUAÇÃO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,ANO
74,39401669402,Presente,E,B,A,C,A,D,E,B,E,C,C,A,D,B,C,A,B,D,D,A,A,A,E,E,D,C,B,A,E,B,A,D,C,E,E,D,A,D,E,C,D,B,A,E,B,E,B,E,B,D,C,D,C,A,E,C,D,A,E,D,E,A,A,B,A,B,A,E,A,C,2016
75,39402667185,Presente,E,A,C,D,A,A,B,C,E,C,B,E,B,C,A,B,B,E,B,B,E,A,C,B,A,D,A,C,D,C,B,A,B,E,B,A,A,E,D,E,A,C,A,A,C,C,C,A,E,D,D,A,D,A,E,A,B,A,C,A,D,A,C,A,E,A,A,B,A,D,2016
77,39401666457,Presente,E,A,C,E,C,A,B,B,E,C,E,E,D,A,D,D,B,E,B,B,E,B,E,E,A,D,D,C,B,A,B,A,B,E,A,A,A,C,D,B,B,A,D,C,B,C,B,E,E,B,C,B,A,A,D,C,C,D,C,A,E,B,D,A,E,C,C,E,B,A,2016
78,39401671508,Presente,B,A,C,E,B,D,A,C,E,A,D,E,D,E,C,C,E,A,B,D,E,A,B,A,A,A,B,E,C,B,B,E,E,D,D,C,A,E,D,A,A,E,A,A,B,A,D,E,B,B,C,B,A,C,E,C,C,D,E,A,E,D,A,A,E,C,A,E,A,C,2016
79,39401683436,Presente,C,B,D,C,E,A,B,A,B,B,E,E,D,B,B,D,B,E,B,A,B,B,C,B,A,A,E,C,D,A,B,D,B,D,E,A,D,B,D,C,B,B,B,C,B,C,D,D,C,D,D,D,D,C,B,C,E,C,E,A,A,A,D,A,E,C,E,B,B,D,2016
80,39401684216,Presente,C,A,E,B,E,B,C,D,E,D,D,E,C,B,A,D,B,E,B,D,B,D,D,B,A,D,C,C,C,A,B,A,A,C,E,B,A,C,E,C,A,A,C,E,D,C,D,C,B,B,C,B,A,B,B,C,E,C,E,A,C,A,E,A,D,C,A,C,B,D,2016
82,39401637996,Presente,E,D,E,C,A,A,B,*,C,D,A,E,D,A,D,E,B,D,B,C,E,B,D,D,A,C,E,C,C,D,B,D,D,C,E,A,A,B,D,A,A,E,B,C,E,E,D,E,C,B,E,D,C,A,D,A,E,C,E,A,E,A,A,A,E,C,A,E,B,D,2016
83,39402662491,Presente,B,C,C,C,C,A,D,C,D,B,C,E,A,E,E,B,C,E,B,D,E,E,D,B,A,B,D,C,C,D,B,C,E,A,D,C,D,B,C,B,A,E,C,C,E,A,C,C,A,A,E,D,B,A,D,C,C,C,E,C,B,A,A,B,D,C,A,C,B,D,2016
84,39401653919,Presente,E,A,C,C,D,B,B,E,E,D,C,E,D,C,D,D,A,E,B,B,E,A,E,B,A,A,A,B,E,C,B,D,A,C,B,A,C,B,B,B,B,A,E,D,D,E,E,C,A,D,C,D,A,C,A,C,C,D,D,A,D,A,A,B,E,B,D,D,B,B,2016
85,39401653499,Presente,B,A,E,E,E,B,B,B,C,C,E,E,D,B,D,D,A,C,B,B,E,B,B,E,B,E,B,A,E,D,B,D,E,E,B,A,B,C,D,E,A,B,C,D,E,A,B,C,D,D,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,2016
86,39401671255,Presente,C,B,C,C,E,D,B,C,A,C,C,E,B,C,B,B,C,E,B,C,A,B,B,E,E,B,E,C,B,C,A,C,B,E,A,D,B,C,E,D,D,A,D,C,C,C,E,D,E,E,D,A,A,A,E,C,D,D,C,A,D,A,D,A,D,C,C,E,A,D,2016
88,39401673283,Presente,E,B,C,C,D,E,D,C,E,E,D,B,A,E,E,C,C,E,B,C,A,B,D,B,A,C,C,E,E,C,B,A,E,C,E,C,E,E,E,A,B,C,C,B,A,E,E,E,D,B,C,B,D,C,E,C,E,C,D,D,E,A,C,A,E,C,B,E,B,C,2016
89,39401662555,Presente,C,B,C,D,E,B,C,E,D,C,D,E,E,C,B,A,B,A,D,D,B,B,E,E,A,D,A,C,E,A,B,E,C,E,D,A,A,E,D,E,D,B,D,E,C,D,B,B,D,B,B,D,E,C,B,E,B,D,E,D,A,A,B,A,A,D,A,D,B,E,2016
90,39402648778,Presente,E,A,B,E,B,B,D,C,D,C,A,E,C,A,E,A,B,A,A,B,A,A,E,E,B,A,D,C,A,E,B,B,D,C,E,A,E,B,E,C,B,C,B,E,D,E,D,C,D,D,B,B,A,A,D,C,C,E,E,D,D,A,C,A,E,C,A,B,A,C,2016
92,39401642623,Presente,E,C,A,C,B,B,C,D,A,C,E,E,E,B,A,D,A,D,B,C,E,A,B,B,A,D,A,C,D,C,B,A,B,E,E,C,A,B,D,C,C,A,A,B,D,B,C,E,A,D,D,B,E,A,C,D,D,C,C,A,D,A,E,A,E,C,C,B,E,D,2016
93,39401657911,Presente,E,A,D,B,A,A,E,E,A,C,B,E,E,B,B,B,B,E,B,C,A,B,C,B,A,D,B,C,C,C,B,A,A,C,D,A,B,B,E,D,D,B,D,C,E,A,D,E,A,E,B,E,A,A,E,C,D,D,E,A,D,A,C,A,D,C,A,E,B,A,2016
94,39401673688,Presente,B,B,B,B,C,B,B,D,D,C,A,E,D,D,E,D,A,A,C,A,E,E,D,E,B,B,B,C,E,E,B,C,B,B,D,E,D,B,E,B,B,E,C,D,E,E,B,E,D,B,C,B,A,A,B,A,B,D,A,A,E,E,D,A,D,B,B,A,B,D,2016
96,39401636220,Presente,D,D,C,E,D,A,A,B,E,C,C,E,B,B,C,A,E,A,D,E,A,B,B,E,A,A,D,C,C,A,B,D,B,E,D,C,A,A,E,B,B,E,D,B,B,B,B,E,A,B,A,A,C,A,B,C,C,D,E,A,D,A,A,A,E,D,A,B,C,D,2016
98,39401672870,Presente,E,A,E,D,D,D,E,A,C,D,E,E,E,A,B,A,B,E,B,A,E,B,B,E,A,E,A,C,C,C,B,D,B,A,E,B,A,C,D,B,B,E,E,C,E,D,B,E,D,D,A,A,A,A,D,A,A,D,C,A,D,A,C,A,E,E,A,B,E,D,2016
99,39401670869,Presente,E,C,C,D,A,B,C,A,C,B,A,E,B,C,B,D,B,E,D,B,A,B,C,B,E,D,E,C,C,B,B,A,A,*,C,C,*,B,D,E,A,E,D,C,B,B,B,C,D,D,C,C,A,B,E,C,D,C,B,D,C,A,A,C,D,C,B,B,A,E,2016
101,39401639957,Presente,E,C,E,E,C,B,C,E,D,C,C,E,D,E,A,B,E,E,B,E,B,A,A,E,A,C,A,C,A,C,A,D,E,C,D,A,A,C,D,D,A,B,D,E,C,A,E,B,E,B,A,C,D,E,C,E,E,D,A,A,D,A,A,E,D,C,E,B,A,C,2016
102,39401678753,Presente,E,A,A,E,B,A,E,D,C,C,E,E,E,A,C,D,B,E,B,B,E,C,D,B,A,D,A,B,A,C,A,D,C,C,D,A,B,B,D,B,D,B,C,C,B,E,C,E,A,B,C,D,A,A,E,B,E,A,D,C,D,A,A,A,A,C,D,E,A,C,2016
103,39401684620,Presente,B,A,C,D,A,B,C,D,C,C,D,E,E,D,B,D,C,D,A,C,D,A,E,E,A,A,A,C,E,E,B,A,E,C,E,B,A,C,D,E,A,E,A,C,B,E,C,E,B,C,A,A,A,A,D,C,E,A,C,C,C,B,B,A,D,C,E,E,B,D,2016
105,39401647737,Presente,C,B,D,E,B,B,C,D,A,C,D,B,D,D,A,C,A,A,D,E,A,D,B,E,E,C,B,A,D,E,A,C,B,E,C,C,B,A,E,B,C,D,E,E,C,B,D,E,D,C,C,D,B,A,C,C,E,D,E,A,C,E,D,A,E,E,C,E,B,D,2016
107,39401682501,Presente,E,A,C,E,D,B,D,C,E,A,E,E,D,C,B,D,B,D,E,C,A,C,D,E,A,D,C,C,E,C,B,E,D,C,A,B,D,C,B,E,B,E,E,C,A,C,B,E,A,D,B,D,A,A,E,D,D,E,E,C,D,A,E,A,D,C,C,B,B,B,2016
108,39402685185,Presente,E,A,C,B,A,B,D,B,E,C,E,E,B,B,A,D,D,E,B,D,A,D,E,E,A,D,A,C,B,C,B,A,B,C,D,A,A,A,D,C,A,E,A,E,B,C,D,E,B,C,B,B,A,C,D,A,A,E,C,A,D,A,C,A,E,C,A,C,B,D,2016
110,39401670286,Presente,D,C,E,B,A,D,A,A,E,A,D,A,C,B,C,D,B,A,D,B,A,A,B,E,B,A,E,A,A,B,C,D,B,C,D,C,A,E,D,A,A,E,D,C,A,D,B,D,A,C,C,D,B,A,E,C,D,B,A,C,E,B,D,E,E,B,B,D,A,C,2016
111,39401668410,Presente,E,A,C,D,D,B,B,B,D,A,B,E,C,B,B,C,B,E,D,D,D,B,B,E,B,D,B,C,A,C,D,A,B,D,C,A,C,C,E,D,D,C,C,A,C,C,B,E,B,C,B,A,C,A,E,C,D,D,A,D,C,A,C,B,E,D,A,B,B,E,2016
112,39401664910,Presente,E,E,E,B,B,C,B,C,D,E,A,D,B,A,B,B,D,B,D,E,B,A,E,E,A,B,D,B,C,C,B,D,B,E,C,A,A,D,D,C,D,B,A,B,B,D,C,C,E,D,C,A,A,A,E,C,E,D,C,D,A,B,C,B,B,C,A,B,B,E,2016
114,39401660060,Presente,E,B,C,C,D,D,A,D,B,E,C,E,B,B,B,A,E,D,B,D,B,A,E,E,A,D,D,C,D,A,B,C,D,E,A,A,A,B,E,C,C,B,D,E,C,C,E,C,B,B,B,D,D,A,D,A,E,D,C,A,C,E,E,A,A,C,B,C,B,D,2016
115,39401666918,Presente,E,A,C,C,D,D,C,D,E,C,C,E,C,D,C,B,D,E,B,D,E,C,E,E,B,B,B,A,C,E,B,A,C,B,A,E,C,B,B,B,D,A,E,B,E,B,C,C,D,C,E,B,C,A,E,E,E,B,A,D,D,C,C,E,A,D,D,C,C,C,2016
116,39402645132,Presente,E,C,E,D,B,A,D,C,B,A,C,E,D,D,C,B,D,C,B,D,B,B,E,E,A,D,E,C,A,E,B,A,B,D,A,D,A,A,D,C,A,B,E,A,B,D,A,C,D,B,A,B,A,D,D,E,A,A,C,E,A,E,B,A,E,C,A,C,C,D,2016
118,39401636313,Presente,E,C,B,C,B,D,B,D,D,D,D,E,C,D,A,D,*,B,D,B,B,B,C,B,A,D,C,C,E,E,B,A,A,E,A,B,A,B,D,E,B,A,B,E,B,C,A,C,D,B,A,D,A,C,C,C,D,D,A,D,D,A,C,A,E,C,C,C,D,C,2016
