,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Algebra Linear,NOTA Análise Combinatória,NOTA Cálculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algorítmos,NOTA Algorítmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens Formais, Autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
28,Mestrado/Doutorado,Teoria da Computação,42101811253-5,"1,019E+11",2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,26.0
29,Mestrado/Doutorado,Engenharia de Software e Sistemas de Informação/Sistemas Web e Multimídia Interativos,42101823045-0,"1,053E+11",2.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,29.0
30,Mestrado/Doutorado,Engenharia de Software,42101809838-8,"1,018E+11",1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,35.0
31,Mestrado/Doutorado,Tecnologia da Informação,42101810616-5,"1,012E+11",2.0,3.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,29.0
32,Mestrado/Doutorado,Redes de Computadores,42101809967-0,"1,052E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mestrado/Doutorado,Engenharia de Software e Banco de Dados,42101833267-7,"1,04E+11",2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,27.0
34,Mestrado/Doutorado,Sistemas de Informação e Computação,42101835336-2,"1,016E+11",2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,30.0
35,Autoavaliação,,42102834027-0,"1,039E+11",1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,17.0
36,Mestrado/Doutorado,Engenharia de Sistemas Computacionais,42101835588-8,"1,03E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
37,Autoavaliação,,42102829431-3,"1,027E+11",2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,35.0
38,Mestrado/Doutorado,Sistemas de Informação,42101833459-3,"1,019E+11",2.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,34.0
39,Mestrado/Doutorado,Tecnologia da Informação,42101832379-6,"1,016E+11",1.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,32.0
40,Mestrado/Doutorado,Engenharia de Software,42101834134-1,"1,039E+11",2.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,45.0
41,Mestrado/Doutorado,Sistemas Inteligentes.,42101834847-0,"1,011E+11",1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,29.0
42,Mestrado/Doutorado,Ciência Computacional,42101820545-8,"1,019E+11",1.0,2.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,40.0
43,Mestrado/Doutorado,Projeto de Bancos de Dados,42101818152-2,"1,008E+11",3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,31.0
44,Mestrado/Doutorado,Segurança e Criptografia Aplicada,42101822482-6,"1,051E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mestrado/Doutorado,Banco de Dados,42101825079-8,"1,042E+11",2.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,31.0
46,Mestrado/Doutorado,Engenharia de Software e Linguagens de Programação,42101834852-9,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
47,Mestrado/Doutorado,Processamento de Imagens,42101830094-8,"1,012E+11",2.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,33.0
48,Mestrado/Doutorado,Gerenciamento de redes de computadores e de telecomunicações,42101831138-2,"1,056E+11",1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,33.0
49,Mestrado/Doutorado,Sistemas de Computação,42101835045-9,"1,008E+11",1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,3.0,36.0
50,Mestrado/Doutorado,Engenharia de Software,42101826650-1,"1,012E+11",1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,29.0
51,Mestrado/Doutorado,Sistemas de Computação,42101831932-0,"1,051E+11",2.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,33.0
52,Mestrado/Doutorado,Engenharia de Software,42101835381-3,"1,033E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
53,Mestrado/Doutorado,Sistemas de Computação,42101810155-1,"1,051E+11",1.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,37.0
54,Mestrado/Doutorado,Sistemas Inteligentes e Lógica,42101810431-7,"1,007E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mestrado/Doutorado,Sistemas de Informação e Banco de Dados,42101809484-0,"1,052E+11",1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,21.0
56,Mestrado/Doutorado,Engenharia de Software,42101812390-1,"1,016E+11",0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,19.0
57,Autoavaliação,,42102810109-4,"1,043E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
58,Mestrado/Doutorado,Teste e Confiabilidade de Sistemas Integrados de Hardware e Software,42101809702-6,"1,015E+11",1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,37.0
59,Mestrado/Doutorado,Metodologia e Técnicas da Computação,42101821819-1,"1,051E+11",1.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,31.0
60,Mestrado/Doutorado,Computação Inteligente,42101825174-5,"1,003E+11",2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,37.0
61,Mestrado/Doutorado,Lógica e Automatização do Raciocínio,42101834780-6,"1,003E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mestrado/Doutorado,Engenharia de Software e Linguagens de Programação,42101834684-9,"1,01E+11",2.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,31.0
63,Mestrado/Doutorado,Aprendizagem de Máquina e Mineração,42101810074-0,"1,044E+11",1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,32.0
64,Mestrado/Doutorado,"Engenharia de Software, Banco de Dados e Interação Humano Computador",42101809317-5,"1,051E+11",1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,35.0
65,Mestrado/Doutorado,Processos de desenvolvimento de software,42101811859-9,"1,008E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mestrado/Doutorado,Engenharia de Software,42101824085-0,"1,051E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
67,Mestrado/Doutorado,Banco de Dados,42101828590-0,"1,044E+11",1.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,35.0
68,Mestrado/Doutorado,Inteligência Computacional,42101834501-6,"1,016E+11",1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,35.0
69,Mestrado/Doutorado,Imagens Médicas,42101812613-8,"1,052E+11",0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,30.0
70,Mestrado/Doutorado,Redes de Computadores e de Telecomunicações,42101832812-3,"1,016E+11",1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,29.0
71,Mestrado/Doutorado,Computação Aplicada,42101812146-6,"1,046E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mestrado/Doutorado,"Algoritmos, Otimização Combinatória e Teoria da Computação",42101834276-1,"1,024E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
73,Mestrado/Doutorado,Redes de Computadores,42101809394-0,"1,039E+11",0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,17.0
74,Mestrado/Doutorado,Aprendizado de Máquina,42101830408-3,"1,042E+11",2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,37.0
75,Mestrado/Doutorado,"Programaação Matemática - teoria, métodos e implementação computacional",42101822176-6,"1,016E+11",1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,25.0
76,Mestrado/Doutorado,Engenharia de Software,42101811817-6,"1,027E+11",2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,28.0
77,Mestrado/Doutorado,"Lógica, Inteligência Artificial e Métodos Formais",42101812514-0,"1,03E+11",2.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,34.0
78,Mestrado/Doutorado,Algoritmos e Otimização,42101810484-8,"1,021E+11",1.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,38.0
79,Mestrado/Doutorado,Sistemas de Computação,42101834343-4,"1,043E+11",2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,28.0
80,Mestrado/Doutorado,Metodologia e Técnicas da Computação,42101820946-7,"1,006E+11",1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,29.0
81,Mestrado/Doutorado,Sistemas Embarcados e Robótica,42101831843-1,"1,04E+11",1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,35.0
82,Mestrado/Doutorado,Redes e Sistemas Distribuidos,42101835353-9,"1,016E+11",0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,31.0
83,Mestrado/Doutorado,Modelagem e Simulação,42101821002-5,"1,039E+11",1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,23.0
84,Mestrado/Doutorado,Inteligência Computacional,42101829327-4,"1,055E+11",2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0
85,Mestrado/Doutorado,Sistemas de Informação e Banco de Dados,42101834367-0,"1,01E+11",2.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,38.0
86,Mestrado/Doutorado,Microeletrônica,42101835444-8,"1,055E+11",2.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,32.0
87,Mestrado/Doutorado,Computação de Alto Desempenho,42101835831-9,"1,055E+11",0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,27.0
88,Mestrado/Doutorado,Combinatória e Teoria dos Grafos,42101835310-6,"1,051E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
89,Mestrado/Doutorado,Redes de Comunicação,42101809627-5,"1,007E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
90,Mestrado/Doutorado,Engenharia de Software e Sistemas de Informação/Sistemas Web e Multimídia Interativos,42101809474-1,"1,047E+11",0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,30.0
91,Mestrado/Doutorado,Linguagens de Programação,42101809906-0,"1,03E+11",2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,24.0
92,Mestrado/Doutorado,Sistemas Computacionais,42101811421-5,"1,052E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
93,Mestrado/Doutorado,Visão Computacional.,42101831684-0,"1,048E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
94,Mestrado/Doutorado,Sistemas Distribuídos,42101829001-6,"1,016E+11",3.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,36.0
95,Autoavaliação,,42102830059-9,"1,027E+11",1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,35.0
96,Mestrado/Doutorado,Aprendizado de Máquina,42101831439-4,"1,051E+11",2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,33.0
97,Mestrado/Doutorado,Sistemas Distribuídos e Redes de Computadores,42101831467-9,"1,011E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
98,Mestrado/Doutorado,Visão Computacional,42101809292-3,"1,035E+11",1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,30.0
99,Mestrado/Doutorado,Distribuição e Redes,42101835200-0,"1,043E+11",0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,27.0
100,Mestrado/Doutorado,Sistemas de Informação,42101812333-2,"1,028E+11",1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
101,Mestrado/Doutorado,Sistemas de Software,42101811576-3,"1,051E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
