,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Álgebra Linear,NOTA Análise Combinatória,NOTA Calculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algoritmos,NOTA Algoritmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens formais, autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
26,Mestrado/Doutorado,"SINAIS, SISTEMAS DIGITAIS E GRÁFICOS",51801394721-9,"1,01001E+11",2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,22.0
27,Mestrado/Doutorado,Inteligência Computacional,51801397128-4,"1,01601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mestrado/Doutorado,"Visão Computacional, Realidade Virtual e Aumentada",51801354182-2,"1,00701E+11",1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0
29,Mestrado/Doutorado,Redes e Sistemas Distribuidos,51801390267-0,"1,01601E+11",1.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,28.0
30,Autoavaliação,,51802354505-0,"1,04301E+11",1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,30.0
31,Mestrado/Doutorado,Engenharia de software,51801377871-5,"1,01001E+11",3.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,32.0
32,Mestrado/Doutorado,Sistemas de Informação,51801375747-0,"1,01901E+11",3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,44.0
33,Mestrado/Doutorado,Fundamentos e Métodos de Computação,51801360822-4,"1,00901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
34,Mestrado/Doutorado,Inteligência artificial,51801368476-7,"1,01101E+11",1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,37.0
35,Mestrado/Doutorado,Robótica,51801387284-5,"1,01201E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
36,Mestrado/Doutorado,"Lógica, Inteligência Artificial e Métodos Formais",51801393287-5,"1,05101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mestrado/Doutorado,Otimização,51801390211-9,"1,04301E+11",0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,23.0
38,Mestrado/Doutorado,"Sistemas Distribuídos e Programação Concorrente / Sistemas Embarcados, Evoluídos e Robóticos",51801393994-4,"1,05101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mestrado/Doutorado,"Algoritmos, Grafos e Combinatória",51801353995-2,"1,00801E+11",3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,44.0
40,Mestrado/Doutorado,Modelagem e Métodos Computacionais,51801376198-4,"1,01601E+11",1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,28.0
41,Mestrado/Doutorado,FUNDAMENTOS DA COMPUTAÇÃO,51801354578-3,"1,05201E+11",3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0
42,Mestrado/Doutorado,Sistemas de Informação,51801382661-6,"1,05201E+11",0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,29.0
43,Mestrado/Doutorado,Ciência Computacional,51801370640-1,"1,05201E+11",2.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0
44,Mestrado/Doutorado,Redes de Computadores,51801378964-0,"1,00701E+11",0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,17.0
45,Mestrado/Doutorado,Engenharia de Software,51801390670-7,"1,03601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mestrado/Doutorado,Segurança em Sistemas Computacionais,51801393889-9,"1,02001E+11",1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,30.0
47,Mestrado/Doutorado,Outras \ Algoritmos e Combinatória,51801386507-5,"1,01601E+11",0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0
48,Mestrado/Doutorado,Sistemas Computacionais Complexos,51801355998-5,"1,04301E+11",2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,25.0
49,Mestrado/Doutorado,Metodologia e Tecnicas de Computação,51801375378-6,"1,02501E+11",3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,39.0
50,Mestrado/Doutorado,Inteligência Computacional,51801395626-8,"1,03901E+11",0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,29.0
51,Mestrado/Doutorado,Inteligência Computacional,51801354467-8,"1,05601E+11",2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,22.0
52,Mestrado/Doutorado,Metodologia e Técnicas da Computação \ Banco de Dados,51801395002-8,"1,01901E+11",3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,40.0
53,Autoavaliação,,51802384640-6,"1,04201E+11",1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,39.0
54,Mestrado/Doutorado,Aplicações da Computação,51801394068-0,"1,02501E+11",2.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,40.0
55,Autoavaliação,,51802354716-2,"1,00501E+11",2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,21.0
56,Mestrado/Doutorado,Inteligência Computacional,51801397411-8,"1,00701E+11",2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,37.0
57,Mestrado/Doutorado,Inteligência Artificial,51801395156-6,"1,04801E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
58,Mestrado/Doutorado,Engenharia de Software,51801397280-0,"1,01901E+11",1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,34.0
59,Mestrado/Doutorado,Inteligência Computacional,51801354489-4,"1,01801E+11",0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,25.0
60,Mestrado/Doutorado,Otimização e Inteligência computacional,51801387905-0,"1,03401E+11",1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,26.0
61,Mestrado/Doutorado,Desenvolvimento e aplicação de tecnologias computacionais em sistemas agrícolas e de pecuária,51801372049-0,"1,00501E+11",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,16.0
62,Mestrado/Doutorado,Computação Móvel e Ubíqua,51801353921-5,"1,04801E+11",0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,27.0
63,Mestrado/Doutorado,Sistemas de Computação,51801369843-8,"1,02001E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mestrado/Doutorado,Teoria,51801392790-3,"1,00401E+11",3.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,38.0
65,Mestrado/Doutorado,Mecânica dos Fluidos Computacional / Otimização / Modelos Estocásticos,51801388106-9,"1,00401E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mestrado/Doutorado,"Lógica, Inteligência Artificial e Métodos Formais",51801397423-6,"1,02701E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
67,Mestrado/Doutorado,"Algoritmos, Grafos e Combinatória",51801364636-3,"1,04501E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
68,Mestrado/Doutorado,Algoritmos,51801385220-3,"1,04401E+11",3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,46.0
69,Mestrado/Doutorado,"Metodologia e Técnicas da Computação \ Computação Gráfica, Processamento de Imagens e Visão Computacional",51801384118-1,"1,05101E+11",3.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,42.0
70,Autoavaliação,,51802397455-4,"1,00601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mestrado/Doutorado,Processamento de Imagens e Sinais,51801366459-8,"1,04301E+11",1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,25.0
72,Mestrado/Doutorado,Inteligência Artificial,51801354370-9,"1,05301E+11",0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,23.0
73,Mestrado/Doutorado,Teoria da Computação,51801393852-4,"1,01901E+11",2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,28.0
74,Mestrado/Doutorado,Computação Paralela e Distribuída,51801363534-0,"1,01801E+11",1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,27.0
75,Mestrado/Doutorado,Inteligência Computacional,51801354655-4,"1,03901E+11",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,26.0
76,Mestrado/Doutorado,Inteligência Computacional,51801394553-9,"1,01801E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
77,Autoavaliação,,51802388238-4,"1,05201E+11",2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,30.0
78,Mestrado/Doutorado,Sistemas de Computação,51801392854-8,"1,05301E+11",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,18.0
79,Mestrado/Doutorado,Engenharia de Software e Sistemas de Informação / Sistemas Web e Multimídia Interativos,51801395010-6,"1,05101E+11",1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,15.0
80,Mestrado/Doutorado,Inteligência Computacional,51801397101-8,"1,05601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
81,Mestrado/Doutorado,"Metodologia e Técnicas da Computação \ Computação Gráfica, Processamento de Imagens e Visão Computacional",51801393243-2,"1,00401E+11",2.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,42.0
82,Mestrado/Doutorado,"Computação Gráfica, Processamento de Imagens, Realidade Virtual e Interação Humano Computador",51801390352-9,"1,00401E+11",2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,30.0
83,Mestrado/Doutorado,Teoria da Computação,51801394840-2,"1,03901E+11",3.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,45.0
84,Mestrado/Doutorado,PROCESSAMENTO GRÁFICO E INTELIGÊNCIA COMPUTACIONAL,51801395367-9,"1,03301E+11",1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,27.0
85,Mestrado/Doutorado,Computação Aplicada,51801393395-0,"1,05001E+11",1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0
86,Mestrado/Doutorado,COMPUTAÇÃO DISTRIBUÍDA,51801392718-8,"1,01001E+11",1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,29.0
87,Mestrado/Doutorado,Bioinformática,51801396435-8,"1,00401E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
88,Mestrado/Doutorado,Sistemas Inteligentes e Lógica,51801394554-9,"1,01601E+11",0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,21.0
89,Mestrado/Doutorado,Fundamentos da Computação,51801395176-2,"1,02001E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
90,Mestrado/Doutorado,Tecnologia da Informação,51801384263-0,"1,01501E+11",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0
91,Mestrado/Doutorado,SISTEMAS INTEGRADOS E DISTRIBUÍDOS,51801354150-8,"1,03401E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
92,Mestrado/Doutorado,"Computação Gráfica, Processamento de Imagens, Realidade Virtual e Interação Humano Computador",51801381294-5,"1,03901E+11",2.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0
93,Mestrado/Doutorado,Informática na Educação,51801396741-8,"1,05101E+11",2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,25.0
94,Autoavaliação,,51802386560-8,"1,05201E+11",0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,25.0
95,Mestrado/Doutorado,Sistemas Inteligentes,51801354720-7,"1,01801E+11",2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0
96,Mestrado/Doutorado,ALGORITMOS EXPERIMENTAIS,51801384291-4,"1,01201E+11",0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,18.0
97,Mestrado/Doutorado,Inteligência Artificial,51801384551-3,"1,03901E+11",3.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,46.0
98,Mestrado/Doutorado,Inteligência Computacional,51801395741-1,"1,01601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
