,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Matemática Discreta,NOTA Cálculo Diferencial Integral,NOTA Álgebra Linear,NOTA Geometria Analítica,NOTA Análise Combinatória,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Organização de Arquivos e Dados,NOTA Técnicas de Programação,NOTA Circuitos Digitais,NOTA Análise de Algoritmos,NOTA Teoria dos Grafos,"NOTA Linguagens Formais, Autômatos e Computabilidade",NOTA Algoritmos e Estruturas de Dados,NOTA Linguagens de Programação,NOTA Sistemas Operacionais,NOTA Arquitetura e Organização de Computadores,NOTA Rede de Computadores,NOTA Computação Gráfica,NOTA Inteligência Artificial,NOTA Engenharia de Software,NOTA Sistemas Distribuídos,NOTA Compiladores,NOTA Processamento de Imagens,NOTA Banco de Dados,NOTA TOTAL TO
72,Mestrado/Doutorado,Teoria dos Grafos,39401675231-3,"1,04E+11",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,22.0
73,Mestrado/Doutorado,"PROCESSAMENTO GRÁFICO, INTERAÇÃO E COMPUTAÇÃO APLICADA",39401669402-3,"1,03E+11",1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0
74,Autoavaliação,,39402667185-8,"1,02E+11",1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,38.0
75,Mestrado/Doutorado,"Visão Computacional, Reconhecimento de Padrões e Computação Forense",39401641356-5,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
76,Mestrado/Doutorado,Teoria da Computação,39401666457-5,"1,04E+11",2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,39.0
77,Mestrado/Doutorado,"Visão Computacional, Reconhecimento de Padrões e Computação Forense",39401671508-5,"1,03E+11",1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,26.0
78,Mestrado/Doutorado,Tecnologia da Informação para Grandes Coorporações,39401683436-0,"1,01E+11",1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,30.0
79,Mestrado/Doutorado,Bioinformática,39401684216-6,"1,05E+11",2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,31.0
80,Mestrado/Doutorado,Bioinformática Estrutural,39401673844-2,"1,00E+11",1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,30.0
81,Mestrado/Doutorado,METODOLOGIA E TÉCNICAS DA COMPUTAÇÃO,39401637996-4,"1,03E+11",0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,27.0
82,Autoavaliação,,39402662491-6,"1,05E+11",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,19.0
83,Mestrado/Doutorado,Redes de Computadores,39401653919-4,"1,04E+11",2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,29.0
84,Mestrado/Doutorado,SISTEMAS DE INFORMAÇÃO,39401653499-3,"1,03E+11",1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,23.0
85,Mestrado/Doutorado,Aprendizado de Máquina e Mineração de Dados,39401671255-4,"1,05E+11",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,22.0
86,Mestrado/Doutorado,PROCESSAMENTO DE IMAGENS E SINAIS: ALGORITMOS E ARQUITETURAS,39401635567-8,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
87,Mestrado/Doutorado,INTELIGÊNCIA COMPUTACIONAL,39401673283-1,"1,05E+11",1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0
88,Mestrado/Doutorado,Fundamentos da Computação,39401662555-7,"1,01E+11",0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,26.0
89,Autoavaliação,,39402648778-9,"1,04E+11",0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,30.0
90,Mestrado/Doutorado,Computação Inteligente,39401636007-9,"1,00E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
91,Mestrado/Doutorado,Gestão de Riscos,39401642623-9,"1,01E+11",1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,32.0
92,Mestrado/Doutorado,Sistemas de Software,39401657911-0,"1,05E+11",0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,31.0
93,Mestrado/Doutorado,Modelagem Matemático Computacional e Simulação,39401673688-0,"1,05E+11",2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,22.0
94,Mestrado/Doutorado,Arquitetura de Computadores e Sistemas Distribuídos,39401674007-8,"1,04E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
95,Mestrado/Doutorado,Inteligência Computacional,39401636220-0,"1,04E+11",1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,26.0
96,Mestrado/Doutorado,Reconhecimento de Padrões,39401657592-6,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
97,Mestrado/Doutorado,"ENGENHARIA DE SOFTWARE, BANCO DE DADOS E INFORMÁTICA E EDUCAÇÃO",39401672870-0,"1,02E+11",0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,32.0
98,Mestrado/Doutorado,Linguagens Formais e Autômatos,39401670869-0,"1,00E+11",1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0
99,Mestrado/Doutorado,algoritmos genéticos,39401673975-4,"1,04E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
100,Mestrado/Doutorado,Inteligência Computacional,39401639957-4,"1,01E+11",0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,28.0
