INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
39401661866-0,M,Jaú,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
39401642551-6,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401639853-7,M,Três Lagoas,MS,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401682161-7,M,Timbó,SC,1-Mestrado/Doutorado,1,Joinville - SC,2016
39401661261-7,M,Barra do Garças,MT,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401684426-9,M,Cruz Alta,RS,1-Mestrado/Doutorado,1,Cascavel - PR,2016
39402670349-0,M,São Carlos,SP,2-Autoavaliação,2,São Carlos - SP,2016
39401672747-9,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401641172-7,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
39401641450-2,M,Florestal,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401670721-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401673519-6,F,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401670225-3,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401638586-3,M,Araçagi,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2016
39401666672-6,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401659624-9,M,Santa Isabel do Pará,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401672683-4,M,Codó,MA,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401664163-9,F,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401679008-0,M,Foz do Iguaçu,PR,1-Mestrado/Doutorado,1,Foz do Iguaçu - PR,2016
39401672933-5,M,Pato Branco,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401683053-8,M,Porto Feliz,SP,1-Mestrado/Doutorado,1,Campinas - SP,2016
39401665720-6,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Vitória da Conquista - BA,2016
39401670800-0,M,Sabará,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401683173-1,M,São José de Ribamar,MA,1-Mestrado/Doutorado,1,Imperatriz - MA,2016
39402669789-4,M,São João Del Rei,MG,2-Autoavaliação,2,Lavras - MG,2016
39401639884-1,M,Senador Canedo,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401636687-8,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401675231-3,M,Ponta Porã,MS,1-Mestrado/Doutorado,1,Ponta Porã - MS,2016
39401669402-3,M,Silves,AM,1-Mestrado/Doutorado,1,Manaus - AM,2016
39402667185-8,M,Foz do Iguaçu,PR,2-Autoavaliação,2,Foz do Iguaçu - PR,2016
39401641356-5,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401666457-5,M,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2016
39401671508-5,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Londrina - PR,2016
39401683436-0,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
39401684216-6,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401673844-2,F,Simão Dias,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
39401637996-4,F,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
39402662491-6,F,Teresina,PI,2-Autoavaliação,2,Teresina - PI,2016
39401653919-4,M,Niterói,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401653499-3,M,Palmares,PE,1-Mestrado/Doutorado,1,Maceió - AL,2016
39401671255-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401635567-8,M,Valinhos,SP,1-Mestrado/Doutorado,1,Campinas - SP,2016
39401673283-1,F,Picos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401662555-7,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39402648778-9,M,Dourados,MS,2-Autoavaliação,2,Ponta Porã - MS,2016
39401636007-9,M,São Cristóvão,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
39401642623-9,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401657911-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401673688-0,F,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
39401674007-8,M,São José do Rio Pardo,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2016
39401636220-0,M,Presidente Epitácio,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2016
39401657592-6,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401672870-0,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401670869-0,M,Arequipa,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
39401673975-4,M,Pouso Alegre,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2016
39401639957-4,M,Chapecó,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2016
39401678753-5,F,Bauru,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
39401684620-3,F,Guarapuava,PR,1-Mestrado/Doutorado,1,Cascavel - PR,2016
39401683850-6,F,São José dos Campos,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2016
39401647737-6,F,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401657015-4,F,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2016
39401682501-7,M,Nova Mutum,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
39402685185-6,M,Ponta Grossa,PR,2-Autoavaliação,2,Curitiba - PR,2016
39401658905-8,M,Brasília,DF,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39401670286-2,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401668410-5,M,Itaúna,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401664910-6,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
39401635988-3,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
39401660060-6,M,Ilha Solteira,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401666918-9,M,Alfredo Marcondes,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2016
39402645132-3,M,Apucarana,PR,2-Autoavaliação,2,Londrina - PR,2016
39401666016-3,M,São João do Sabugi,RN,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401636313-9,M,Joinville,SC,1-Mestrado/Doutorado,1,Manaus - AM,2016
39401660234-6,M,Tacna,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
39401641185-5,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró - RN,2016
39401650123-5,M,Bayeux,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2016
39401669832-7,M,Jaguarão,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
39401674709-9,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401651081-3,M,Jaraguá do Sul,SC,1-Mestrado/Doutorado,1,Joinville - SC,2016
39402668944-0,M,Lages,SC,2-Autoavaliação,2,Curitiba - PR,2016
39401639875-3,M,Bagé,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
39401651774-6,M,Itapecerica da Serra,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401659759-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401685158-8,M,Guarapuava,PR,1-Mestrado/Doutorado,1,Foz do Iguaçu - PR,2016
39401669827-9,M,Coxim,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401683416-4,M,AREQUIPA,SP,1-Mestrado/Doutorado,1,Arequipa - PERU,2016
39401640340-0,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401642829-3,M,Dracena,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2016
39401655004-3,M,Cascavel,PR,1-Mestrado/Doutorado,1,Cascavel - PR,2016
39401642690-6,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401635607-6,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401670356-5,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39402684349-1,M,Juiz de Fora,MG,2-Autoavaliação,2,Juiz de Fora - MG,2016
39401665774-7,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
39401639887-1,M,Marília,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401640820-0,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2016
39401635888-6,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39401664389-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401640847-7,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401642571-2,M,Ribeirão Preto,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2016
39401670632-0,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401681143-4,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401653073-8,M,Guaíba,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401647440-2,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401674472-4,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401685114-5,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401664564-8,M,Picos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401651304-0,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
39401667025-8,M,Pirassununga,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2016
39402683555-8,M,São Paulo,SP,2-Autoavaliação,2,São Paulo - SP,2016
39401639450-8,M,Rio Negro,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401671181-1,M,Santo André,SP,1-Mestrado/Doutorado,1,Santo André - SP,2016
39401670125-6,M,Serra,ES,1-Mestrado/Doutorado,1,Vitória - ES,2016
39401666273-7,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
39401669973-7,M,Jundiaí,SP,1-Mestrado/Doutorado,1,Campinas - SP,2016
39402658748-0,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401683500-3,M,Campinas,SP,1-Mestrado/Doutorado,1,Campinas - SP,2016
39401640564-1,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401669093-8,M,Alegrete,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2016
39401643481-0,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
39401654396-2,M,Jucás,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2016
39401651806-6,M,Palhoça,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39401683283-7,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39401663240-3,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
39401638844-2,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401666603-9,F,Andradas,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2016
39401636875-4,F,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401657200-0,F,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401639985-9,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401643792-0,F,Três Lagoas,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401670997-1,F,Coxim,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401670567-8,M,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401684908-9,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401670977-5,F,Curitiba,PR,1-Mestrado/Doutorado,1,Londrina - PR,2016
39401672076-2,M,São Luiz Gonzaga,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401675159-2,M,Montes Claros,MG,1-Mestrado/Doutorado,1,Brasilia - DF,2016
39401678577-7,M,Currais Novos,RN,1-Mestrado/Doutorado,1,Natal - RN,2016
39402652854-7,M,Dourados,MS,2-Autoavaliação,2,Ponta Porã - MS,2016
39401670832-5,M,Boca da Mata,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
39401640811-2,M,Natal,RN,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401651474-4,M,Maringá,PR,1-Mestrado/Doutorado,1,Maringá - PR,2016
39401659440-0,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401679239-9,F,Bogota,OU,1-Mestrado/Doutorado,1,Bogotá - COLÔMBIA,2016
39401636073-6,M,São Cristóvão,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
39402672041-1,M,Cuiabá,MT,2-Autoavaliação,2,Cuiabá - MT,2016
39401657059-7,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
39401635855-1,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401642632-7,M,Dourados,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401672900-0,M,Picos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39402671556-0,M,São Carlos,SP,2-Autoavaliação,2,São Carlos - SP,2016
39401672740-9,M,Canguçu,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
39401643911-9,M,Guarapuava,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401677548-6,M,Cruzeiro do Oeste,PR,1-Mestrado/Doutorado,1,São Carlos - SP,2016
39401641059-3,M,Taperoá,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39402639705-2,M,Curitiba,PR,2-Autoavaliação,2,Curitiba - PR,2016
39401668779-6,F,São Carlos,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
39401664922-4,M,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2016
39401636094-2,M,Vitória da Conquista,BA,1-Mestrado/Doutorado,1,Vitória da Conquista - BA,2016
39401653058-1,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401664812-9,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401637794-0,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401683034-1,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401653019-9,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401684893-5,M,Brasília,DF,1-Mestrado/Doutorado,1,Brasilia - DF,2016
39401650672-2,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401670754-4,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401664840-3,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2016
39401635975-5,M,Monte Horebe,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2016
39401649318-3,M,Cachoeiras de Macacu,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401657383-3,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401676979-3,M,Tijucas,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39401661924-5,M,Brasília,DF,1-Mestrado/Doutorado,1,Brasilia - DF,2016
39401667215-4,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2016
39401650850-0,M,Palestina,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401653561-6,M,Lavras,MG,1-Mestrado/Doutorado,1,Lavras - MG,2016
39401683087-2,M,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2016
39401685109-7,M,Contagem,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401682352-3,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró - RN,2016
39401660110-2,F,São Borja,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2016
39401636406-8,F,Barra do Garças,MT,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401656341-4,F,Parnaíba,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401642298-7,F,Santo Anastácio,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2016
39401643403-4,F,Bauru,SP,1-Mestrado/Doutorado,1,Bauru - SP,2016
39401661788-0,F,Maranguape,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2016
39401669326-2,F,Santa Rosa,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401666045-8,F,Londrina,PR,1-Mestrado/Doutorado,1,Londrina - PR,2016
39401672737-0,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401642751-0,M,Pinhais,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39401635811-9,M,Codó,MA,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401640319-6,F,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Maceió - AL,2016
39401670582-4,F,São Domingos do Prata,MG,1-Mestrado/Doutorado,1,Viçosa - MG,2016
39401682747-4,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401640118-1,F,Ilha Solteira,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401636658-3,F,Rio das Ostras,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401652544-3,F,Lavras,MG,1-Mestrado/Doutorado,1,Lavras - MG,2016
39401643597-5,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401668416-5,F,Joinville,SC,1-Mestrado/Doutorado,1,Joinville - SC,2016
39401664045-5,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401654446-9,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401636286-9,F,Mogi Mirim,SP,1-Mestrado/Doutorado,1,Campinas - SP,2016
39401684892-5,F,São José dos Campos,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2016
39401640932-6,F,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401666358-8,F,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2016
39401674755-0,F,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
39401641478-9,F,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2016
39402665225-3,F,Jacareí,SP,2-Autoavaliação,2,São José dos Campus - SP,2016
39401679337-6,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401652394-0,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401651787-4,F,São Gonçalo,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401666591-5,F,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2016
39402658394-1,F,Quixadá,CE,2-Autoavaliação,2,Quixadá - CE,2016
39401665028-5,F,Fernandópolis,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401635730-8,F,Ubá,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2016
39401662389-7,F,Barroso,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2016
39401684371-2,F,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória - ES,2016
39401674606-1,F,Monte Azul Paulista,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401646758-6,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
39401640223-7,M,Joaçaba,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2016
39401663709-7,M,Nova Iguaçu,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401663674-7,M,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2016
39401676104-8,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2016
39401640038-0,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2016
39401656748-3,M,Barra do Bugres,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
39401682797-5,M,Mamanguape,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2016
39401635381-0,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2016
39401640274-8,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2016
39401665109-6,M,Passos,MG,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2016
39401650307-3,M,Aracaju,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2016
39401635800-0,M,Mauá,SP,1-Mestrado/Doutorado,1,Santo André - SP,2016
39401652964-9,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Quixadá - CE,2016
39401640410-3,M,Areia,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2016
39401640614-8,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2016
39402676984-5,M,Porto Alegre,RS,2-Autoavaliação,2,Porto Alegre - RS,2016
39401681953-0,M,Ibicuitinga,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2016
39401673617-3,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2016
39401682840-1,M,Ribeirão Preto,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2016
39401658275-4,M,Poços de Caldas,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2016
39401683928-9,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2016
39401640063-5,M,Coxim,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2016
39401636762-9,M,Chapecó,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2016
39401641077-0,M,Barra do Bugres,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2016
39401656875-5,M,Umuarama,PR,1-Mestrado/Doutorado,1,Maringá - PR,2016
39401684131-5,M,Xavantina,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2016
39401642609-2,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2016
39401667123-5,M,Santa Maria,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2016
39401672265-9,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2016
39401641433-6,M,Castro,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2016
39402652861-5,M,Florianópolis,SC,2-Autoavaliação,2,Florianópolis - SC,2016
