INSCRICAO,SEXO,ESTADO,REGIAO,ESPECIALIDADE,PRESENTE DIA1,CARGO,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,ANO,IDADE
39401635126-6,M,PR,sul,sistemas distribuídos,S,Mestrado/Doutorado,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2016,28
39401648230-6,M,MT,centro_oeste,teoria da computação,S,Mestrado/Doutorado,2.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2016,29
39401654892-9,M,SP,sudeste,sistemas distribuídos,S,Mestrado/Doutorado,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2016,25
39401636601-2,M,SC,sul,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2016,38
39401672794-0,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,0.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2016,25
39401672387-2,M,SP,sudeste,banco de dados,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2016,24
39401638792-6,M,CE,nordeste,ciência computacional,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2016,23
39401642551-6,M,PA,norte,sistemas inteligentes,S,Mestrado/Doutorado,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2016,21
39401639853-7,M,MS,centro_oeste,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2016,23
39401661261-7,M,MT,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,2016,24
39401684426-9,M,RS,sul,computação aplicada,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2016,29
39401641172-7,M,SP,sudeste,banco de dados,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2016,27
39401641450-2,M,MG,sudeste,banco de dados,S,Mestrado/Doutorado,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2016,29
39401670225-3,M,PR,sul,redes e sistemas distribuídos,S,Mestrado/Doutorado,2.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2016,49
39401666672-6,M,PI,nordeste,sistemas de computação,S,Mestrado/Doutorado,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016,37
39401659624-9,M,PA,norte,sistemas inteligentes,S,Mestrado/Doutorado,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2016,21
39401672683-4,M,MA,nordeste,computação aplicada,S,Mestrado/Doutorado,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2016,21
39401679008-0,M,PR,sul,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2016,30
39401672933-5,M,PR,sul,engenharia de software,S,Mestrado/Doutorado,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2016,26
39401683173-1,M,MA,nordeste,ciência computacional,S,Mestrado/Doutorado,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2016,29
39401675231-3,M,MS,centro_oeste,teoria da computação,S,Mestrado/Doutorado,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2016,27
39401669402-3,M,AM,norte,sistemas embarcados,S,Mestrado/Doutorado,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2016,25
39401671508-5,M,MS,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2016,39
39401683436-0,M,MT,centro_oeste,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2016,22
39401653499-3,M,PE,nordeste,computação visual,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,51
39401671255-4,M,SP,sudeste,ciência de dados,S,Mestrado/Doutorado,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2016,31
39401662555-7,M,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2016,26
39401642623-9,M,PA,norte,sistemas embarcados,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2016,29
39401673688-0,F,MA,nordeste,arquitetura de computadores,S,Mestrado/Doutorado,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2016,30
39401636220-0,M,SP,sudeste,sistemas de informação,S,Mestrado/Doutorado,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2016,21
39401672870-0,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,2016,28
39401684620-3,F,PR,sul,banco de dados,S,Mestrado/Doutorado,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2016,24
39401647737-6,F,PA,norte,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2016,36
39401660060-6,M,SP,sudeste,aprendizado de máquina,S,Mestrado/Doutorado,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2016,25
39401666918-9,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2016,23
39401636313-9,M,SC,sul,redes de computadores,S,Mestrado/Doutorado,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2016,27
39401641185-5,M,RN,nordeste,otimização e inteligência artificial,S,Mestrado/Doutorado,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2016,34
39401674709-9,M,RJ,sudeste,sistemas de informação,S,Mestrado/Doutorado,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,2016,42
39401685158-8,M,PR,sul,banco de dados,S,Mestrado/Doutorado,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2016,21
39401669827-9,M,MS,centro_oeste,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2016,20
39401642829-3,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2016,34
39401655004-3,M,PR,sul,redes e sistemas distribuídos,S,Mestrado/Doutorado,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,2016,21
39401635607-6,M,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2016,30
39401670356-5,M,PR,sul,redes e sistemas distribuídos,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2016,40
39401639887-1,M,SP,sudeste,sistemas embarcados,S,Mestrado/Doutorado,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2016,25
39401640820-0,M,MG,sudeste,engenharia de software,S,Mestrado/Doutorado,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2016,25
39401635888-6,M,SC,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,2016,24
39401640847-7,M,RS,sul,redes de computadores,S,Mestrado/Doutorado,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2016,23
39401642571-2,M,SP,sudeste,ciência de dados,S,Mestrado/Doutorado,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2016,41
39401670632-0,M,PI,nordeste,sistemas de computação,S,Mestrado/Doutorado,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2016,22
39401653073-8,M,RS,sul,engenharia de software,S,Mestrado/Doutorado,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,2016,42
39401647440-2,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2016,23
39401674472-4,M,PR,sul,sistemas embarcados,S,Mestrado/Doutorado,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,2016,28
39401685114-5,M,SP,sudeste,ciência de dados,S,Mestrado/Doutorado,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2016,24
39401651304-0,M,MA,nordeste,arquitetura de computadores,S,Mestrado/Doutorado,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2016,44
39401671181-1,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,2016,25
39401670125-6,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2016,45
39401669973-7,M,SP,sudeste,ciência computacional,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2016,30
39401683500-3,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2016,25
39401640564-1,M,RJ,sudeste,inteligência artificial,S,Mestrado/Doutorado,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2016,38
39401669093-8,M,RS,sul,engenharia de software,S,Mestrado/Doutorado,0.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2016,21
39401683283-7,M,SC,sul,engenharia de software,S,Mestrado/Doutorado,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2016,27
39401636875-4,F,PR,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2016,25
39401639985-9,F,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2016,32
39401643792-0,F,MS,centro_oeste,aprendizado de máquina,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2016,27
39401670997-1,F,MS,centro_oeste,sistemas de informação,S,Mestrado/Doutorado,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2016,30
39401670567-8,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2016,38
39401684908-9,M,PA,norte,engenharia de software,S,Mestrado/Doutorado,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,2016,32
39401672076-2,M,RS,sul,sistemas embarcados,S,Mestrado/Doutorado,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2016,23
39401678577-7,M,RN,nordeste,ciência computacional,S,Mestrado/Doutorado,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2016,22
39401640811-2,M,RN,nordeste,sistemas de computação,S,Mestrado/Doutorado,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2016,24
39401659440-0,M,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2016,25
39401635855-1,M,PR,sul,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2016,28
39401642632-7,M,MS,centro_oeste,arquitetura de computadores,S,Mestrado/Doutorado,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2016,28
39401672900-0,M,PI,nordeste,computação aplicada,S,Mestrado/Doutorado,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2016,27
39401643911-9,M,PR,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2016,27
39401641059-3,M,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2016,24
39401668779-6,F,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2016,27
39401664812-9,M,RJ,sudeste,sistemas de computação,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2016,28
39401637794-0,M,PI,nordeste,computação aplicada,S,Mestrado/Doutorado,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2016,66
39401683034-1,M,RS,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2016,21
39401650672-2,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,3.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,2016,35
