SEXO,ESTADO,ESPECIALIDADE,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,IDADE,matematica,fund_computacao,tec_computacao,total,REGIAO
M,SP,sistemas de informação,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,21,6.0,13.0,7.0,26.0,sudeste
M,GO,engenharia de software,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,28,6.0,15.0,11.0,32.0,centro_oeste
M,SC,otimização,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,22,8.0,14.0,6.0,28.0,sul
F,PR,banco de dados,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,24,10.0,17.0,6.0,33.0,sul
F,PA,redes de computadores,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,36,5.0,10.0,6.0,21.0,norte
M,RS,metodologias e técnicas de computação,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,26,2.0,17.0,6.0,25.0,sul
M,AL,sistemas de computação,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,35,8.0,9.0,6.0,23.0,nordeste
M,SP,aprendizado de máquina,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,25,6.0,17.0,8.0,31.0,sudeste
M,SP,engenharia de software,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23,11.0,9.0,2.0,22.0,sudeste
M,SC,redes de computadores,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,27,6.0,15.0,8.0,29.0,sul
M,RS,sistemas embarcados,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,31,8.0,22.0,9.0,39.0,sul
M,RJ,sistemas de informação,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,42,5.0,11.0,8.0,24.0,sudeste
M,SP,otimização,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,33,8.0,16.0,8.0,32.0,sudeste
M,PR,banco de dados,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,21,11.0,18.0,7.0,36.0,sul
M,MS,engenharia de software,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,20,6.0,12.0,6.0,24.0,centro_oeste
M,SP,engenharia de software,1.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,34,10.0,14.0,5.0,29.0,sudeste
M,PR,redes de computadores,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,21,11.0,11.0,9.0,31.0,sul
M,PB,sistemas de computação,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,10.0,18.0,5.0,33.0,nordeste
M,PR,redes de computadores,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,40,9.0,15.0,8.0,32.0,sul
M,SP,sistemas embarcados,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,25,13.0,15.0,8.0,36.0,sudeste
M,MG,engenharia de software,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,25,4.0,16.0,6.0,26.0,sudeste
M,SC,inteligência artificial,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,24,8.0,16.0,11.0,35.0,sul
M,RS,redes de computadores,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,23,11.0,19.0,10.0,40.0,sul
M,PI,sistemas de computação,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,22,6.0,18.0,8.0,32.0,nordeste
M,RS,engenharia de software,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,42,5.0,12.0,10.0,27.0,sul
M,GO,engenharia de software,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,23,7.0,11.0,8.0,26.0,centro_oeste
M,PR,sistemas embarcados,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,28,10.0,22.0,9.0,41.0,sul
M,SP,engenharia de software,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,25,7.0,16.0,10.0,33.0,sudeste
M,ES,sistemas de informação,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,45,11.0,12.0,7.0,30.0,sudeste
M,SP,sistemas de computação,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,30,5.0,9.0,4.0,18.0,sudeste
M,SP,inteligência artificial,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,25,9.0,11.0,9.0,29.0,sudeste
M,RJ,inteligência artificial,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,38,9.0,12.0,3.0,24.0,sudeste
M,RS,engenharia de software,0.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,21,10.0,11.0,5.0,26.0,sul
M,AL,sistemas de computação,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29,8.0,13.0,4.0,25.0,nordeste
M,SC,engenharia de software,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,27,3.0,13.0,4.0,20.0,sul
F,PR,inteligência artificial,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,25,6.0,10.0,6.0,22.0,sul
F,GO,metodologias e técnicas de computação,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,33,4.0,12.0,6.0,22.0,centro_oeste
F,SP,inteligência artificial,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,32,11.0,18.0,10.0,39.0,sudeste
F,MS,aprendizado de máquina,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,27,9.0,13.0,7.0,29.0,centro_oeste
F,MS,sistemas de informação,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,30,6.0,8.0,5.0,19.0,centro_oeste
M,GO,engenharia de software,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,38,4.0,16.0,8.0,28.0,centro_oeste
M,PA,engenharia de software,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,32,3.0,14.0,7.0,24.0,norte
M,RS,sistemas embarcados,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,23,5.0,12.0,5.0,22.0,sul
M,RN,sistemas de computação,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,22,5.0,18.0,5.0,28.0,nordeste
M,RN,sistemas de computação,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,24,5.0,14.0,8.0,27.0,nordeste
M,PB,sistemas de computação,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,25,4.0,15.0,8.0,27.0,nordeste
M,PR,engenharia de software,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,28,7.0,11.0,3.0,21.0,sul
M,PI,computação aplicada,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,27,5.0,16.0,5.0,26.0,nordeste
M,PR,inteligência artificial,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,27,7.0,13.0,7.0,27.0,sul
M,PB,sistemas de computação,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,24,3.0,16.0,6.0,25.0,nordeste
F,SP,engenharia de software,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,27,9.0,13.0,6.0,28.0,sudeste
M,PA,sistemas de informação,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,38,8.0,13.0,4.0,25.0,norte
M,RJ,sistemas de computação,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,28,11.0,10.0,6.0,27.0,sudeste
M,RS,inteligência artificial,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,21,13.0,17.0,12.0,42.0,sul
M,SP,engenharia de software,3.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,35,14.0,20.0,11.0,45.0,sudeste
M,RJ,inteligência artificial,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,24,12.0,19.0,7.0,38.0,sudeste
M,MG,redes de computadores,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,34,8.0,17.0,5.0,30.0,sudeste
