SEXO,ESTADO,ESPECIALIDADE,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,IDADE,matematica,fund_computacao,tec_computacao,total,linhas_pesquisas,area_concentration,REGIAO
M,PR,redes de computadores,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,35,5.0,12.0,6.0,23.0,redes de computadores,computacao,sul
M,MG,sistemas de computação,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,23,19.0,21.0,12.0,52.0,linhas concentradas,informatica,sudeste
M,SE,banco de dados,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,32,9.0,15.0,15.0,39.0,linhas concentradas,informatica,nordeste
M,CE,engenharia de software,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,27,11.0,14.0,9.0,34.0,engenharia de software,informatica,nordeste
M,RS,inteligência artificial,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,29,17.0,23.0,13.0,53.0,inteligência artificial,computacao,sul
F,GO,engenharia de software,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,31,6.0,10.0,7.0,23.0,engenharia de software,informatica,centro_oeste
F,PE,aplicações computacionais,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,34,4.0,11.0,9.0,24.0,linhas concentradas,informatica,nordeste
F,ES,aplicações computacionais,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,34,14.0,11.0,7.0,32.0,linhas concentradas,informatica,sudeste
F,RJ,banco de dados,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,39,6.0,8.0,6.0,20.0,linhas concentradas,informatica,sudeste
M,PR,redes de computadores,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,28,6.0,13.0,6.0,25.0,redes de computadores,computacao,sul
M,MT,aplicações computacionais,2.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,29,17.0,24.0,11.0,52.0,linhas concentradas,informatica,centro_oeste
M,AL,aplicações computacionais,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,22,11.0,12.0,10.0,33.0,linhas concentradas,informatica,nordeste
M,SP,redes de computadores,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,25,7.0,19.0,6.0,32.0,redes de computadores,computacao,sudeste
M,SC,engenharia de software,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,38,8.0,15.0,8.0,31.0,engenharia de software,informatica,sul
M,SP,inteligência artificial,0.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,25,9.0,13.0,7.0,29.0,inteligência artificial,computacao,sudeste
M,SP,aplicações computacionais,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,43,8.0,14.0,8.0,30.0,linhas concentradas,informatica,sudeste
M,MA,aplicações computacionais,1.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,27,11.0,15.0,9.0,35.0,linhas concentradas,informatica,nordeste
M,SP,banco de dados,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,24,11.0,16.0,8.0,35.0,linhas concentradas,informatica,sudeste
M,CE,sistemas de computação,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23,9.0,11.0,6.0,26.0,linhas concentradas,informatica,nordeste
M,RS,aplicações computacionais,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,26,7.0,15.0,4.0,26.0,linhas concentradas,informatica,sul
M,PA,aplicações computacionais,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,21,9.0,16.0,8.0,33.0,linhas concentradas,informatica,norte
M,MS,engenharia de software,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,23,4.0,17.0,8.0,29.0,engenharia de software,informatica,centro_oeste
M,MT,inteligência artificial,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,24,6.0,18.0,9.0,33.0,inteligência artificial,computacao,centro_oeste
M,RS,computação aplicada,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,29,7.0,11.0,7.0,25.0,linhas concentradas,informatica,sul
M,RS,aplicações computacionais,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,25,11.0,19.0,10.0,40.0,linhas concentradas,informatica,sul
M,SP,banco de dados,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,27,7.0,20.0,7.0,34.0,linhas concentradas,informatica,sudeste
M,MG,banco de dados,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,29,6.0,11.0,8.0,25.0,linhas concentradas,informatica,sudeste
M,SP,visão computacional,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,26,7.0,14.0,4.0,25.0,redes de computadores,computacao,sudeste
F,PA,aplicações computacionais,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,22,8.0,15.0,6.0,29.0,linhas concentradas,informatica,norte
M,PR,redes de computadores,2.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,49,10.0,13.0,4.0,27.0,redes de computadores,computacao,sul
M,PB,metodologias e técnicas de computação,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,30,4.0,15.0,4.0,23.0,redes de computadores,computacao,nordeste
M,PI,sistemas de computação,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37,5.0,15.0,3.0,23.0,linhas concentradas,informatica,nordeste
M,PA,aplicações computacionais,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,21,7.0,11.0,8.0,26.0,linhas concentradas,informatica,norte
M,MA,computação aplicada,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,21,4.0,14.0,5.0,23.0,linhas concentradas,informatica,nordeste
F,MS,aplicações computacionais,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,22,7.0,16.0,4.0,27.0,linhas concentradas,informatica,centro_oeste
M,PR,engenharia de software,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,30,6.0,16.0,12.0,34.0,engenharia de software,informatica,sul
M,PR,engenharia de software,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,26,7.0,13.0,8.0,28.0,engenharia de software,informatica,sul
M,MG,metodologias e técnicas de computação,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,27,6.0,12.0,5.0,23.0,redes de computadores,computacao,sudeste
M,MA,sistemas de computação,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,29,7.0,13.0,12.0,32.0,linhas concentradas,informatica,nordeste
M,MS,aplicações computacionais,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,27,5.0,13.0,4.0,22.0,linhas concentradas,informatica,centro_oeste
M,AM,sistemas embarcados,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25,5.0,15.0,2.0,22.0,redes de computadores,computacao,norte
M,CE,visão computacional,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,21,13.0,17.0,9.0,39.0,redes de computadores,computacao,nordeste
M,MS,engenharia de software,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,39,7.0,13.0,6.0,26.0,engenharia de software,informatica,centro_oeste
M,MT,redes de computadores,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,22,6.0,17.0,7.0,30.0,redes de computadores,computacao,centro_oeste
M,SP,aplicações computacionais,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,20,8.0,15.0,8.0,31.0,linhas concentradas,informatica,sudeste
F,SE,aplicações computacionais,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,23,8.0,12.0,10.0,30.0,linhas concentradas,informatica,nordeste
F,AL,sistemas de computação,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,25,8.0,11.0,8.0,27.0,linhas concentradas,informatica,nordeste
M,RJ,aplicações computacionais,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,25,11.0,12.0,6.0,29.0,linhas concentradas,informatica,sudeste
M,PE,aplicações computacionais,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,51,8.0,12.0,3.0,23.0,linhas concentradas,informatica,nordeste
M,SP,aplicações computacionais,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,31,5.0,8.0,9.0,22.0,linhas concentradas,informatica,sudeste
F,PI,aplicações computacionais,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,29,5.0,10.0,5.0,20.0,linhas concentradas,informatica,nordeste
M,PB,sistemas de computação,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,26,5.0,16.0,5.0,26.0,linhas concentradas,informatica,nordeste
M,PA,sistemas embarcados,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,29,7.0,17.0,8.0,32.0,redes de computadores,computacao,norte
M,SP,aplicações computacionais,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,28,8.0,13.0,10.0,31.0,linhas concentradas,informatica,sudeste
F,MA,aplicações computacionais,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,30,7.0,9.0,6.0,22.0,linhas concentradas,informatica,nordeste
M,SP,sistemas de informação,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,21,6.0,13.0,7.0,26.0,redes de computadores,computacao,sudeste
M,GO,engenharia de software,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,28,6.0,15.0,11.0,32.0,engenharia de software,informatica,centro_oeste
M,SC,otimização,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,22,8.0,14.0,6.0,28.0,inteligência artificial,computacao,sul
F,SP,aplicações computacionais,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,24,10.0,11.0,5.0,26.0,linhas concentradas,informatica,sudeste
F,PR,banco de dados,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,24,10.0,17.0,6.0,33.0,linhas concentradas,informatica,sul
F,PA,redes de computadores,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,36,5.0,10.0,6.0,21.0,redes de computadores,computacao,norte
M,MT,aplicações computacionais,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,31,7.0,12.0,8.0,27.0,linhas concentradas,informatica,centro_oeste
M,MG,aplicações computacionais,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,21,6.0,12.0,6.0,24.0,linhas concentradas,informatica,sudeste
M,RS,metodologias e técnicas de computação,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,26,2.0,17.0,6.0,25.0,redes de computadores,computacao,sul
M,AL,sistemas de computação,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,35,8.0,9.0,6.0,23.0,linhas concentradas,informatica,nordeste
M,SP,aprendizado de máquina,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,25,6.0,17.0,8.0,31.0,inteligência artificial,computacao,sudeste
M,SP,engenharia de software,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23,11.0,9.0,2.0,22.0,engenharia de software,informatica,sudeste
M,SC,redes de computadores,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,27,6.0,15.0,8.0,29.0,redes de computadores,computacao,sul
M,RS,sistemas embarcados,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,31,8.0,22.0,9.0,39.0,redes de computadores,computacao,sul
M,RJ,sistemas de informação,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,42,5.0,11.0,8.0,24.0,redes de computadores,computacao,sudeste
M,SC,aplicações computacionais,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,23,5.0,11.0,6.0,22.0,linhas concentradas,informatica,sul
M,RS,aplicações computacionais,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,28,8.0,19.0,8.0,35.0,linhas concentradas,informatica,sul
M,SP,otimização,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,33,8.0,16.0,8.0,32.0,inteligência artificial,computacao,sudeste
M,PR,banco de dados,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,21,11.0,18.0,7.0,36.0,linhas concentradas,informatica,sul
M,MS,engenharia de software,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,20,6.0,12.0,6.0,24.0,engenharia de software,informatica,centro_oeste
M,SP,aplicações computacionais,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,31,11.0,16.0,6.0,33.0,linhas concentradas,informatica,sudeste
M,SP,engenharia de software,1.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,34,10.0,14.0,5.0,29.0,engenharia de software,informatica,sudeste
M,PR,redes de computadores,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,21,11.0,11.0,9.0,31.0,redes de computadores,computacao,sul
M,SP,aplicações computacionais,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,29,10.0,16.0,7.0,33.0,linhas concentradas,informatica,sudeste
