,SEXO,ESTADO,REGIAO,ESPECIALIDADE,CARGO,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,ANO,matematica,fundamentos_computacao,tecnologia_computacao,Idade,cluster
35,1,20,4,processamento paralelo e,0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2016,11.0,19.0,10.0,32,0
36,1,24,3,banco de dados,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2016,7.0,20.0,7.0,34,0
37,1,12,3,banco de dados,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2016,6.0,11.0,8.0,36,1
38,1,24,3,visão computacional,0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2016,7.0,14.0,4.0,32,1
39,0,13,0,bioinformática,0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2016,8.0,15.0,6.0,28,1
40,1,15,4,redes e sistemas,0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2016,10.0,13.0,4.0,55,1
41,1,14,1,metodologia e técnicas,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2016,4.0,15.0,4.0,36,1
42,1,17,1,sistemas de computação,0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016,5.0,15.0,3.0,43,1
43,1,13,0,sistemas inteligentes,0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2016,7.0,11.0,8.0,28,1
44,1,9,1,computação aplicada,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2016,4.0,14.0,5.0,28,1
45,0,11,2,redes de comunicações,0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2016,7.0,16.0,4.0,28,1
46,1,15,4,engenharia de software,0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2016,6.0,16.0,12.0,37,0
47,1,15,4,engenharia de software,0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2016,7.0,13.0,8.0,32,1
48,1,12,3,metodologia e técnicas,0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2016,6.0,12.0,5.0,33,1
49,1,9,1,ciência da computação,0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2016,7.0,13.0,12.0,35,0
50,1,11,2,teoria da computação,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2016,5.0,13.0,4.0,33,1
51,1,3,0,sistemas embarcados,0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2016,5.0,15.0,2.0,31,1
52,1,5,1,visão computacional,0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2016,13.0,17.0,9.0,27,0
53,1,11,2,engenharia de software,0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2016,7.0,13.0,6.0,46,1
54,1,10,2,redes de computadores,0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2016,6.0,17.0,7.0,28,1
55,1,24,3,bioinformática,0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2016,8.0,15.0,8.0,27,0
56,0,25,1,computação inteligente,0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2016,8.0,12.0,10.0,29,1
57,0,1,1,engenharia de software,0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2016,8.0,11.0,8.0,31,1
58,1,18,3,segurança computacional,0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2016,11.0,12.0,6.0,31,1
59,1,16,1,computação visual e,0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,8.0,12.0,3.0,58,1
60,1,24,3,ciência de dados,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2016,5.0,8.0,9.0,38,1
61,0,17,1,computação gráfica,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2016,5.0,10.0,5.0,36,1
62,1,14,1,sistemas de computação,0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2016,5.0,16.0,5.0,33,1
63,1,13,0,sistemas embarcados,0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2016,7.0,17.0,8.0,35,0
64,1,24,3,bioinformática,0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,2016,8.0,13.0,10.0,35,0
65,0,9,1,arquitetura de sistemas,0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2016,7.0,9.0,6.0,36,1
66,1,24,3,sistemas de informação,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2016,6.0,13.0,7.0,28,1
67,1,8,2,engenharia de software,0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,2016,6.0,15.0,11.0,35,0
68,1,23,4,algoritmos e grafos,0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2016,8.0,14.0,6.0,28,1
69,0,24,3,criptografia computacional,0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2016,10.0,11.0,5.0,30,1
70,0,15,4,banco de dados,0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2016,10.0,17.0,6.0,30,0
71,0,13,0,redes de computadores,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2016,5.0,10.0,6.0,42,1
72,1,10,2,computação inteligente,0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2016,7.0,12.0,8.0,38,1
73,1,13,0,informática na educação,0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2016,4.0,9.0,2.0,44,1
74,1,12,3,análise de dados,0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2016,6.0,12.0,6.0,28,1
75,1,20,4,fundamentos da computação,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2016,2.0,17.0,6.0,32,1
76,1,1,1,engenharia de software,0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2016,8.0,9.0,6.0,42,1
77,1,24,3,aprendizado de máquina,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2016,6.0,17.0,8.0,31,0
78,1,24,3,engenharia de software,0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2016,11.0,9.0,2.0,29,1
79,1,23,4,redes de computadores,0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2016,6.0,15.0,8.0,34,1
80,1,19,1,otimização e inteligência,0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2016,3.0,7.0,2.0,40,1
81,1,20,4,sistemas digitais e,0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2016,8.0,22.0,9.0,38,0
82,1,18,3,sistemas de informação,0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,2016,5.0,11.0,8.0,49,1
83,1,23,4,agentes de software,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2016,5.0,11.0,6.0,30,1
84,1,20,4,modelagem computacional do,0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2016,8.0,19.0,8.0,34,0
85,1,24,3,algoritmos otimização combinatória,0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2016,8.0,16.0,8.0,39,0
86,1,15,4,banco de dados,0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2016,11.0,18.0,7.0,27,0
87,1,11,2,engenharia de software,0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2016,6.0,12.0,6.0,27,1
88,1,24,3,processamento de linguagem,0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2016,11.0,16.0,6.0,38,0
89,1,24,3,engenharia de software,0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2016,10.0,14.0,5.0,41,1
90,1,15,4,redes e sistemas,0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,2016,11.0,11.0,9.0,27,0
91,1,24,3,computação científica e,0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2016,10.0,16.0,7.0,35,0
92,1,14,1,sistemas de computação,0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2016,10.0,18.0,5.0,37,0
93,1,15,4,redes e sistemas,0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2016,9.0,15.0,8.0,46,0
94,1,9,1,modelagem computacional,0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,2016,9.0,20.0,10.0,27,0
95,1,24,3,sistemas embarcadosvoluídos,0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2016,13.0,15.0,8.0,32,0
96,1,12,3,engenharia de software,0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2016,4.0,16.0,6.0,31,1
